sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
171,10,1,28,4,780
172,11,1,8,3,780
173,12,1,275,8,780
174,12,1,15,3,780
175,12,1,30,7,780
176,13,1,101,6,840
177,13,1,279,4,840
178,13,1,176,4,840
179,13,1,44,4,840
180,13,1,16,3,840
181,14,1,23,6,840
182,14,1,5,8,840
183,14,1,127,3,840
184,15,1,178,8,840
185,15,1,35,7,840
186,16,1,64,8,900
187,17,1,20,12,900
188,17,1,51,5,900
189,17,1,18,6,900
190,17,1,170,6,900
191,17,1,435,7,900
192,18,1,7,7,960
193,18,1,44,4,960
194,19,1,33,9,960
195,20,1,123,4,960
196,20,1,23,7,960
197,21,1,68,6,1080
198,21,1,14,10,1080
199,22,1,18,4,1080
200,23,1,44,4,1140
201,24,1,493,4,1140
202,24,1,37,6,1140
203,25,1,13,4,1200
204,25,1,7,6,1200
205,25,1,6,7,1200
206,26,1,74,4,1260
207,26,1,153,10,1260
208,27,1,20,5,1380
209,28,1,28,7,1560
210,28,1,22,3,1560
211,28,1,383,5,1560
212,29,1,5,8,1620
213,29,1,3,12,1620
214,30,1,313,7,1620
215,31,1,19,11,1680
216,31,1,86,7,1680
217,32,1,186,9,1680
218,32,1,78,8,1680
219,32,1,32,8,1680
220,32,1,30,10,1680
221,33,1,33,8,1740
222,34,1,42,4,1860
223,34,1,17,4,1860
224,34,1,31,4,1860
225,34,1,0,10,1860
226,34,1,49,2,1860
227,34,1,68,3,1860
228,34,1,38,11,1860
229,34,1,72,5,1860
230,35,1,2,6,1860
231,35,1,9,8,1860
232,36,1,42,5,1920
233,36,1,142,2,1920
234,37,1,18,6,1920
235,37,1,195,6,1920
236,38,1,15,1,1980
237,38,1,33,4,1980
238,38,1,146,10,1980
239,38,1,10,2,1980
240,39,1,195,3,2040
241,40,1,212,10,2040
242,40,1,2,11,2040
243,41,1,6,10,2040
244,42,1,155,8,2160
245,42,1,33,7,2160
246,43,1,45,6,2160
247,44,1,25,8,2160
248,44,1,381,9,2160
249,44,1,41,2,2160
250,45,1,365,6,2220
251,46,1,236,10,2220
252,46,1,317,8,2220
253,46,1,28,10,2220
254,47,1,129,4,2220
255,48,1,1,10,2220
256,48,1,0,8,2220
257,48,1,99,7,2220
258,48,1,25,6,2220
259,48,1,152,4,2220
260,48,1,14,7,2220
261,48,1,95,8,2220
262,48,1,164,5,2220
263,48,1,11,8,2220
264,49,1,18,3,2220
265,49,1,386,5,2220
266,49,1,33,6,2220
267,49,1,23,1,2220
268,49,1,178,6,2220
269,49,1,45,4,2220
270,49,1,0,10,2220
271,50,1,12,8,2280
272,50,1,34,7,2280
273,50,1,42,6,2280
274,50,1,108,1,2280
275,50,1,26,7,2280
276,50,1,227,12,2280
277,50,1,499,9,2280
278,51,1,140,4,2340
279,51,1,133,4,2340
280,51,1,22,9,2340
281,51,1,85,1,2340
282,51,1,98,8,2340
283,51,1,2,12,2340
284,52,1,300,4,2340
285,52,1,11,8,2340
286,52,1,46,2,2340
287,52,1,4,9,2340
288,52,1,12,8,2340
289,52,1,8,7,2340
290,52,1,0,7,2340
291,52,1,107,10,2340
292,52,1,21,4,2340
293,52,1,180,3,2340
294,52,1,78,8,2340
295,53,1,50,5,2400
296,53,1,6,3,2400
297,53,1,1,6,2400
298,53,1,47,6,2400
299,53,1,20,8,2400
300,54,1,233,4,2400
301,55,1,15,4,2400
302,55,1,95,4,2400
303,55,1,1,2,2400
304,56,1,191,9,2400
305,56,1,36,6,2400
306,57,1,5,4,2400
307,57,1,10,8,2400
308,57,1,0,6,2400
309,57,1,13,7,2400
310,57,1,6,7,2400
311,57,1,1,4,2400
312,57,1,422,4,2400
313,57,1,28,8,2400
314,58,1,24,8,2580
315,59,1,30,4,2580
316,60,1,0,9,2580
317,60,1,11,8,2580
318,60,1,136,10,2580
319,60,1,10,10,2580
320,61,1,293,6,2640
321,61,1,13,10,2640
322,61,1,21,10,2640
323,61,1,151,9,2640
324,62,1,26,6,2640
325,62,1,103,4,2640
326,62,1,19,8,2640
327,62,1,13,4,2640
328,62,1,104,9,2640
329,62,1,3,6,2640
330,62,1,21,6,2640
331,62,1,151,5,2640
332,62,1,29,7,2640
333,62,1,17,6,2640
334,62,1,167,7,2640
335,62,1,204,9,2640
336,62,1,56,9,2640
337,63,1,0,6,2640
338,63,1,51,6,2640
339,63,1,118,2,2640
340,63,1,14,4,2640
341,63,1,27,12,2640
342,64,1,21,6,2760
343,64,1,47,8,2760
344,64,1,87,1,2760
345,64,1,309,1,2760
346,64,1,9,10,2760
347,64,1,466,4,2760
348,64,1,28,12,2760
349,64,1,18,5,2760
350,65,1,68,5,2760
351,65,1,15,6,2760
352,65,1,0,3,2760
353,65,1,9,10,2760
354,65,1,227,6,2760
355,65,1,35,8,2760
356,66,1,24,12,2940
357,66,1,9,10,2940
358,66,1,31,2,2940
359,66,1,25,4,2940
360,66,1,12,10,2940
361,66,1,189,2,2940
362,66,1,453,11,2940
363,66,1,27,12,2940
364,66,1,35,8,2940
365,66,1,110,11,2940
366,66,1,152,8,2940
367,66,1,57,5,2940
368,66,1,125,8,2940
369,66,1,118,2,2940
370,66,1,330,9,2940
371,67,1,121,11,2940
372,68,1,48,4,3060
373,68,1,9,8,3060
374,68,1,416,4,3060
375,68,1,41,6,3060
376,68,1,11,8,3060
377,68,1,285,5,3060
378,69,1,193,9,3060
379,69,1,212,4,3060
380,70,1,37,10,3120
381,71,1,22,4,3180
382,71,1,39,5,3180
383,72,1,1,6,3300
384,73,1,35,10,3300
385,73,1,130,8,3300
386,73,1,42,10,3300
387,73,1,48,6,3300
388,74,1,7,10,3360
389,75,1,1,8,3360
390,75,1,0,12,3360
391,76,1,44,8,3360
392,77,1,17,10,3360
393,77,1,50,6,3360
394,78,1,36,8,3480
395,78,1,109,8,3480
396,78,1,38,8,3480
397,79,1,223,5,3480
398,79,1,26,2,3480
399,80,1,365,10,3540
400,80,1,26,4,3540
401,80,1,14,6,3540
402,80,1,66,4,3540
403,80,1,148,4,3540
404,80,1,48,6,3540
405,80,1,60,7,3540
406,80,1,111,12,3540
407,80,1,27,1,3540
408,81,1,234,12,3600
409,82,1,109,9,3660
410,83,1,42,8,3660
411,83,1,67,7,3660
412,84,1,135,8,3720
413,85,1,9,9,3720
414,86,1,152,4,3780
415,86,1,171,3,3780
416,86,1,5,6,3780
417,86,1,158,6,3780
418,86,1,34,4,3780
419,87,1,86,4,3780
420,87,1,3,10,3780
421,87,1,109,10,3780
422,87,1,105,3,3780
423,87,1,113,8,3780
424,88,1,11,9,3840
425,89,1,115,6,3840
426,89,1,81,6,3840
427,90,1,42,10,3840
428,90,1,124,10,3840
429,91,1,43,10,3840
430,92,1,178,11,3840
431,92,1,165,5,3840
432,93,1,0,6,3840
433,94,1,169,3,3900
434,94,1,6,7,3900
435,94,1,277,8,3900
436,94,1,66,6,3900
437,95,1,7,8,3900
438,95,1,1,10,3900
439,96,1,5,8,3600
440,96,1,12,4,3600
441,96,1,15,2,3600
442,96,1,40,8,3600
443,96,1,23,6,3600
444,96,1,2,11,3600
445,96,1,142,8,3600
446,96,1,3,8,3600
447,96,1,85,3,3600
448,97,1,121,7,3600
449,97,1,116,6,3600
450,97,1,48,10,3600
451,97,1,19,5,3600
452,97,1,33,4,3600
453,98,1,15,7,3720
454,98,1,17,7,3720
455,98,1,172,5,3720
456,99,1,49,7,3720
457,100,1,13,5,3780
458,100,1,0,4,3780
459,100,1,145,7,3780
460,100,1,3,4,3780
461,100,1,81,7,3780
462,101,1,150,3,3780
463,101,1,133,8,3780
464,101,1,64,10,3780
465,102,1,23,8,3780
466,102,1,22,12,3780
467,102,1,1,5,3780
468,102,1,334,6,3780
469,103,1,77,4,3840
470,103,1,5,6,3840
471,103,1,102,6,3840
472,103,1,48,4,3840
473,103,1,198,5,3840
474,103,1,128,11,3840
475,103,1,71,7,3840
476,103,1,49,4,3840
477,103,1,29,6,3840
478,103,1,314,6,3840
479,103,1,15,10,3840
480,103,1,267,5,3840
481,104,1,414,8,3840
482,104,1,6,9,3840
483,105,1,188,1,3840
484,105,1,411,12,3840
485,105,1,420,4,3840
486,106,1,61,7,3900
487,106,1,120,4,3900
488,107,1,26,4,3900
489,107,1,31,6,3900
490,108,1,34,10,3900
491,108,1,29,3,3900
492,108,1,171,4,3900
493,109,1,195,5,3960
494,109,1,0,8,3960
495,110,1,3,6,3960
496,111,1,4,3,3960
497,111,1,49,8,3960
498,111,1,20,8,3960
499,112,1,36,4,4080
500,112,1,107,7,4080
501,112,1,196,5,4080
502,113,1,253,7,4080
503,113,1,80,3,4080
504,113,1,23,6,4080
505,114,1,157,10,4140
506,115,1,2,8,4140
507,115,1,9,8,4140
508,115,1,27,9,4140
509,116,1,5,5,4140
510,116,1,155,2,4140
511,116,1,222,8,4140
512,116,1,88,10,4140
513,116,1,11,7,4140
514,117,1,25,10,4200
515,117,1,44,9,4200
516,117,1,4,2,4200
517,117,1,123,5,4200
518,117,1,86,10,4200
519,117,1,11,4,4200
520,117,1,97,10,4200
521,117,1,6,4,4200
522,117,1,158,12,4200
523,117,1,18,4,4200
524,117,1,28,12,4200
525,118,1,3,7,4320
526,119,1,150,11,4320
527,120,1,59,11,4380
528,120,1,21,8,4380
529,121,1,14,10,4380
530,121,1,21,9,4380
531,122,1,32,5,4380
532,122,1,5,3,4380
533,122,1,122,10,4380
534,122,1,129,4,4380
535,122,1,1,1,4380
536,122,1,24,9,4380
537,122,1,361,8,4380
538,123,1,14,4,4380
539,123,1,122,7,4380
540,124,1,21,10,4500
541,124,1,10,10,4500
542,125,1,9,10,4560
543,125,1,35,5,4560
544,126,1,20,8,4560
545,127,1,122,12,4620
546,127,1,6,8,4620
547,128,1,77,6,4620
548,128,1,30,10,4620
549,128,1,354,7,4620
550,128,1,95,4,4620
551,129,1,7,5,4740
552,129,1,5,8,4740
553,130,1,88,5,4740
554,130,1,35,6,4740
555,130,1,223,6,4740
556,130,1,8,2,4740
557,130,1,55,7,4740
558,131,1,32,10,4740
559,132,1,195,4,4740
560,132,1,2,4,4740
561,132,1,79,7,4740
562,133,1,236,2,4800
563,133,1,3,10,4800
564,133,1,294,7,4800
565,133,1,127,10,4800
566,133,1,46,4,4800
567,134,1,12,2,4800
568,134,1,6,10,4800
569,134,1,34,2,4800
570,134,1,23,4,4800
571,134,1,44,3,4800
572,134,1,144,9,4800
573,134,1,142,8,4800
574,134,1,52,10,4800
575,135,1,135,8,4860
576,136,1,196,8,4860
577,136,1,0,4,4860
578,136,1,26,6,4860
579,136,1,134,5,4860
580,136,1,44,10,4860
581,136,1,426,7,4860
582,136,1,120,4,4860
583,137,1,3,5,4920
584,137,1,17,6,4920
585,138,1,6,12,5040
586,138,1,10,3,5040
587,138,1,143,9,5040
588,138,1,111,4,5040
589,138,1,32,8,5040
590,139,1,2,4,5040
591,139,1,39,9,5040
592,139,1,33,4,5040
593,139,1,27,1,5040
594,140,1,209,4,5100
595,140,1,152,4,5100
596,140,1,113,4,5100
597,141,1,186,12,5100
598,141,1,4,6,5100
599,141,1,0,7,5100
600,142,1,11,6,5100
601,143,1,340,9,5160
602,144,1,35,6,5220
603,145,1,263,10,5280
604,146,1,1,11,5280
605,146,1,154,2,5280
606,146,1,11,3,5280
607,147,1,3,8,5340
608,147,1,12,8,5340
609,148,1,18,6,5400
610,148,1,222,6,5400
611,148,1,186,9,5400
612,148,1,1,4,5400
613,148,1,159,7,5400
614,148,1,9,6,5400
615,148,1,23,10,5400
616,148,1,4,9,5400
617,148,1,79,11,5400
618,148,1,37,8,5400
619,148,1,38,6,5400
620,148,1,339,11,5400
621,148,1,8,6,5400
622,148,1,144,8,5400
623,149,1,16,4,5400
624,149,1,13,8,5400
625,149,1,178,8,5400
626,149,1,17,8,5400
627,149,1,6,12,5400
628,149,1,14,10,5400
629,149,1,60,8,5400
630,150,1,153,4,5520
631,150,1,15,10,5520
632,151,1,4,11,5520
633,151,1,0,6,5520
634,151,1,3,9,5520
635,152,1,73,5,5580
636,152,1,12,7,5580
637,152,1,19,8,5580
638,153,1,258,5,5580
639,154,1,2,8,5640
640,154,1,89,9,5640
641,154,1,15,6,5640
642,155,1,100,8,5640
643,155,1,164,6,5640
644,155,1,234,11,5640
645,156,1,43,10,5700
646,156,1,0,8,5700
647,156,1,11,9,5700
648,157,1,26,4,5700
649,157,1,1,1,5700
650,157,1,99,4,5700
651,158,1,122,2,5700
652,158,1,440,3,5700
653,158,1,13,8,5700
654,159,1,71,4,5700
655,160,1,20,2,5760
656,161,1,450,5,5820
657,162,1,53,3,5880
658,162,1,185,6,5880
659,163,1,17,8,5940
660,163,1,9,1,5940
661,163,1,112,4,5940
662,163,1,45,8,5940
663,164,1,44,9,5940
664,164,1,42,7,5940
665,164,1,13,8,5940
666,164,1,5,5,5940
667,164,1,40,8,5940
668,165,1,20,7,5940
669,166,1,114,3,6000
670,166,1,36,2,6000
671,167,1,108,4,6060
672,167,1,57,7,6060
673,168,1,12,3,6120
674,169,1,33,10,6120
675,170,1,33,8,6180
676,170,1,14,2,6180
677,171,1,457,6,6240
678,172,1,184,4,6240
679,173,1,0,9,6300
680,173,1,33,2,6300
681,174,1,138,10,6300
682,174,1,9,3,6300
683,174,1,86,7,6300
684,175,1,11,6,6360
685,175,1,4,1,6360
686,175,1,23,8,6360
687,175,1,413,7,6360
688,175,1,257,12,6360
689,175,1,349,12,6360
690,175,1,231,9,6360
691,175,1,236,6,6360
692,175,1,72,9,6360
693,175,1,97,1,6360
694,175,1,5,7,6360
695,176,1,105,2,6360
696,177,1,115,9,6420
697,177,1,22,4,6420
698,177,1,142,7,6420
699,178,1,103,8,6540
700,179,1,49,4,6540
701,179,1,375,4,6540
702,179,1,287,6,6540
703,179,1,20,10,6540
704,179,1,107,10,6540
705,180,1,57,10,6540
706,181,1,7,6,6600
707,181,1,115,4,6600
708,181,1,6,6,6600
709,181,1,15,6,6600
710,181,1,25,2,6600
711,181,1,101,3,6600
712,182,1,152,3,6600
713,182,1,118,6,6600
714,183,1,6,4,6600
715,183,1,5,9,6600
716,184,1,38,6,6660
717,184,1,11,7,6660
718,184,1,121,3,6660
719,185,1,97,10,6660
720,186,1,101,8,6720
721,186,1,232,4,6720
722,187,1,32,10,6840
723,187,1,87,4,6840
724,187,1,5,4,6840
725,187,1,7,6,6840
726,187,1,11,8,6840
727,187,1,30,8,6840
728,187,1,75,8,6840
729,187,1,27,6,6840
730,188,1,37,10,6900
731,188,1,27,12,6900
732,189,1,159,8,6900
733,189,1,36,8,6900
734,190,1,39,12,6960
735,190,1,112,8,6960
736,190,1,171,5,6960
737,191,1,62,2,6960
738,192,1,23,4,7020
739,192,1,9,6,7020
740,193,1,0,6,7020
741,194,1,38,6,7020
742,194,1,40,5,7020
743,194,1,19,4,7020
744,195,1,241,6,7020
745,195,1,109,4,7020
746,195,1,46,6,7020
747,195,1,12,10,7020
748,195,1,163,1,7020
749,195,1,29,8,7020
750,195,1,16,7,7020
751,195,1,85,6,7020
